feats,cap,calib,pooled_auc,mean_delay,en->hi,hi->en,oof-en,oof-hi
all(60),new(120/7/25),isotonic,0.7046114864864864,1077.6249999999995,849.9999999999995,1442.4999999999998,1168.0,849.9999999999995
all(60),old(400/15/15),isotonic,0.697331081081081,1078.7499999999995,849.9999999999995,1464.9999999999995,1149.9999999999998,849.9999999999995
all(60),tiny(60/4/35),sigmoid,0.683293918918919,1090.2499999999995,849.9999999999995,1396.0,1264.9999999999998,849.9999999999995
lite(38),tiny(60/4/35),isotonic,0.6597297297297298,1092.1249999999995,849.9999999999995,1358.4999999999995,1302.4999999999998,857.4999999999995
lite(38),old(400/15/15),sigmoid,0.6693074324324324,1097.4999999999995,849.9999999999995,1389.9999999999998,1299.9999999999998,849.9999999999995
prosody(28),old(400/15/15),isotonic,0.6380236486486487,1103.4999999999995,849.9999999999995,1389.9999999999998,1323.9999999999993,849.9999999999995
all(60),new(120/7/25),sigmoid,0.7068918918918918,1103.4999999999998,849.9999999999995,1473.9999999999998,1254.9999999999998,834.9999999999999
lite(38),old(400/15/15),isotonic,0.6679138513513513,1103.9999999999995,849.9999999999995,1463.9999999999998,1251.9999999999998,849.9999999999995
lite(38),new(120/7/25),isotonic,0.6848986486486488,1105.3749999999995,849.9999999999995,1395.9999999999998,1317.9999999999998,857.4999999999995
all(60),tiny(60/4/35),isotonic,0.6940962837837839,1109.7499999999995,849.9999999999995,1443.9999999999998,1294.9999999999998,849.9999999999995
lite(38),new(120/7/25),sigmoid,0.6819763513513514,1110.2499999999995,849.9999999999995,1395.9999999999998,1344.9999999999998,849.9999999999995
all(60),old(400/15/15),sigmoid,0.707010135135135,1113.9999999999995,849.9999999999995,1479.9999999999998,1275.9999999999995,849.9999999999995
lite(38),tiny(60/4/35),sigmoid,0.6638344594594595,1113.9999999999995,849.9999999999995,1419.9999999999998,1335.9999999999998,849.9999999999995
prosody(28),new(120/7/25),isotonic,0.6502364864864865,1114.75,849.9999999999995,1384.0000000000002,1374.9999999999998,849.9999999999995
prosody(28),tiny(60/4/35),isotonic,0.6550675675675677,1126.2499999999995,849.9999999999995,1437.4999999999998,1359.9999999999995,857.4999999999995
prosody(28),new(120/7/25),sigmoid,0.6532601351351351,1134.2499999999995,849.9999999999995,1449.9999999999998,1387.0000000000002,849.9999999999995
prosody(28),tiny(60/4/35),sigmoid,0.6456756756756756,1137.2499999999995,849.9999999999995,1437.9999999999998,1410.9999999999995,849.9999999999995
prosody(28),old(400/15/15),sigmoid,0.6420608108108109,1138.1249999999995,849.9999999999995,1376.0,1476.4999999999998,849.9999999999995
